date,portfolio_value
2023-05-31,10574.0
2023-06-01,10434.0
2023-06-02,10434.0
2023-06-05,10434.0
2023-06-06,10434.0
2023-06-07,12834.0
2023-06-08,12834.0
2023-06-09,12834.0
2023-06-12,12719.0
2023-06-13,10698.999999999998
2023-06-14,10698.999999999998
2023-06-15,10698.999999999998
2023-06-16,5706.999999999998
2023-06-20,8550.999999999998
2023-06-21,8550.999999999998
2023-06-22,11726.999999999998
2023-06-23,11726.999999999998
2023-06-26,11726.999999999998
2023-06-27,9386.999999999998
2023-06-28,9386.999999999998
2023-06-29,5230.999999999998
2023-06-30,10378.999999999998
2023-07-03,10378.999999999998
2023-07-05,15301.999999999998
2023-07-06,14860.999999999998
2023-07-07,14860.999999999998
2023-07-10,16464.0
2023-07-11,17703.0
2023-07-12,15393.0
2023-07-13,15393.0
2023-07-14,29833.000000000007
2023-07-17,29833.000000000007
2023-07-18,12223.000000000004
2023-07-19,29733.0
2023-07-20,29733.0
2023-07-21,29733.0
2023-07-24,29733.0
2023-07-25,29733.0
2023-07-26,29733.0
2023-07-27,26753.0
2023-07-28,15193.0
2023-07-31,23072.999999999996
2023-08-01,23072.999999999996
2023-08-02,23072.999999999996
2023-08-03,31753.0
2023-08-04,31753.0
2023-08-07,31753.0
2023-08-08,35813.0
2023-08-09,35813.0
2023-08-10,35813.0
2023-08-11,35813.0
2023-08-14,19413.0
2023-08-15,34963.0
2023-08-16,34613.0
2023-08-17,34613.0
2023-08-18,34613.0
2023-08-21,34613.0
2023-08-22,44343.0
2023-08-23,44343.0
2023-08-24,44343.0
2023-08-25,54133.0
2023-08-28,54133.0
2023-08-29,54133.0
2023-08-30,54133.0
2023-08-31,65153.0
2023-09-01,65153.0
2023-09-05,80133.0
2023-09-06,80133.0
2023-09-07,84563.0
2023-09-08,84563.0
2023-09-11,84563.0
2023-09-12,77953.0
2023-09-13,68473.0
2023-09-14,67923.0
2023-09-15,67923.0
2023-09-18,74623.0
2023-09-19,74623.0
2023-09-20,74623.0
2023-09-21,76013.0
2023-09-22,76013.0
2023-09-25,76613.0
2023-09-26,73713.0
2023-09-27,73713.0
2023-09-28,73713.0
2023-09-29,76433.0
2023-10-02,72143.0
2023-10-03,72143.0
2023-10-04,67403.0
2023-10-05,69623.0
2023-10-06,60313.0
2023-10-09,66793.0
2023-10-10,66793.0
2023-10-11,77373.0
2023-10-12,77373.0
2023-10-13,76323.0
2023-10-16,76323.0
2023-10-17,80883.0
2023-10-18,80883.0
2023-10-19,92683.0
2023-10-20,92683.0
2023-10-23,78363.0
2023-10-24,78363.0
2023-10-25,67443.0
2023-10-26,70853.0
2023-10-27,70853.0
2023-10-30,70853.0
2023-10-31,74343.0
2023-11-01,74343.0
2023-11-02,82283.0
2023-11-03,82283.0
2023-11-06,88323.0
2023-11-07,88323.0
2023-11-08,99633.0
2023-11-09,99633.0
2023-11-10,99633.0
2023-11-13,99633.0
2023-11-14,99633.0
2023-11-15,99633.0
2023-11-16,89213.0
2023-11-17,89213.0
2023-11-20,100543.0
2023-11-21,93903.0
2023-11-22,91603.0
2023-11-24,91603.0
2023-11-27,100613.0
2023-11-28,94143.0
2023-11-29,109463.0
2023-11-30,109463.0
2023-12-01,109463.0
2023-12-04,109463.0
2023-12-05,109463.0
2023-12-06,96083.0
2023-12-07,105563.0
2023-12-08,105563.0
2023-12-11,105563.0
2023-12-12,105403.0
2023-12-13,105403.0
2023-12-14,105403.0
2023-12-15,114633.0
2023-12-18,114633.0
2023-12-19,114633.0
2023-12-20,109513.0
2023-12-21,119613.0
2023-12-22,119613.0
2023-12-26,101053.0
2023-12-27,101053.0
2023-12-28,100573.0
2023-12-29,101763.0
